Week,Lecturer,Lecture Topic,Assessment,Lab
1,Januar Harianto,Introduction: Surveys,,Lab 1
2,Januar Harianto,Surveys: Sampling designs,,Lab 2
3,Januar Harianto,ANOVA I: One-way Analysis of Variance (ANOVA),,Lab 3
4,Aaron Greenville,ANOVA II: Introduction to experimental design,Report 1,No Labs
5,Aaron Greenville,ANOVA III: ANOVA with  blocking,,Lab 4
6,Aaron Greenville,ANOVA IV: ANOVA with 2 or more factors,,Lab 5
7,Liana Pozza,Regression I: Multiple linear regression,Report 2,Lab 6
8,Liana Pozza,Regression II: Variable selection,,Lab 7
9,Liana Pozza,Regression III: Predictive modelling,,Lab 8
10,Mathew Crowther,Multivariate analysis I: Principal component analysis (PCA),,Lab 9
11,Mathew Crowther,Multivariate analysis II: Clustering,,Lab 10
12,Mathew Crowther,Multivariate analysis III: MDS and MANOVA,,Lab 11
13,TBA,Revision,Presentation,Lab 12
